"model","AIC","LjungBox_p","RMSE","MAE"
"SARIMA(3,1,0)(0,1,1)[12]",751.815689878319,0.101870799308794,3100.20785007199,2802.49343015225
"SARIMA(0,1,0)(0,1,1)[12]",748.178341049711,0.152375743980649,3194.18488138732,2899.58664906338
"SARIMA(0,1,0)(1,1,1)[12]",750.177580043629,0.116909901107334,3210.15763351258,2914.73190327335
