"model_name","model","p","d","q","P","D","Q","period","parameter_count","AIC","LjungBox_p","RMSE","MAE","has_warning","warning_text"
"tlb_s409_SARIMA_3_2_0_1_1_2_12","SARIMA(3,2,0)(1,1,2)[12]",3,2,0,1,1,2,12,6,750.2355372695,0.0254522612176363,8016.33684435409,5998.97180861322,FALSE,""
"tlb_s334_SARIMA_1_2_2_2_1_0_12","SARIMA(1,2,2)(2,1,0)[12]",1,2,2,2,1,0,12,5,742.994828707064,0.404647383545032,8024.75462358016,5877.34532632329,FALSE,""
"tlb_s319_SARIMA_1_2_1_2_1_1_12","SARIMA(1,2,1)(2,1,1)[12]",1,2,1,2,1,1,12,5,745.058393273986,0.258180944742474,8141.93031188249,5894.2736636547,FALSE,""
"tlb_s380_SARIMA_2_2_1_2_1_0_12","SARIMA(2,2,1)(2,1,0)[12]",2,2,1,2,1,0,12,5,745.501132579188,0.350074539146423,8150.24011017298,5895.42154860527,FALSE,""
"tlb_s359_SARIMA_2_2_0_1_1_2_12","SARIMA(2,2,0)(1,1,2)[12]",2,2,0,1,1,2,12,5,748.751302997107,0.0367648011815936,8164.70665507352,6102.75026850403,FALSE,""
"tlb_s318_SARIMA_1_2_1_2_1_0_12","SARIMA(1,2,1)(2,1,0)[12]",1,2,1,2,1,0,12,4,743.562587104926,0.378736038775811,8168.13785926024,5919.14072311001,FALSE,""
"tlb_s268_SARIMA_0_2_2_2_1_1_12","SARIMA(0,2,2)(2,1,1)[12]",0,2,2,2,1,1,12,5,745.182505375823,0.210004946526123,8207.73240854237,5959.24996969494,FALSE,""
"tlb_s285_SARIMA_0_2_3_2_1_1_12","SARIMA(0,2,3)(2,1,1)[12]",0,2,3,2,1,1,12,6,747.164195038123,0.192917504712821,8256.03610484001,5986.76192032352,FALSE,""
"tlb_s267_SARIMA_0_2_2_2_1_0_12","SARIMA(0,2,2)(2,1,0)[12]",0,2,2,2,1,0,12,4,743.740461501544,0.339627868753649,8265.03500577622,6013.16437212302,FALSE,""
"tlb_s284_SARIMA_0_2_3_2_1_0_12","SARIMA(0,2,3)(2,1,0)[12]",0,2,3,2,1,0,12,5,745.742059337353,0.275150647992516,8267.02597636412,6015.30982601087,FALSE,""
"tlb_s288_SARIMA_1_2_0_0_0_2_12","SARIMA(1,2,0)(0,0,2)[12]",1,2,0,0,0,2,12,3,966.60401427868,0.0267262452640343,8414.83295531057,6444.73859171798,FALSE,""
"tlb_s411_SARIMA_3_2_0_2_0_1_12","SARIMA(3,2,0)(2,0,1)[12]",3,2,0,2,0,1,12,6,966.405386207789,0.00178369428551595,8447.99959238038,6329.61496259853,FALSE,""
"tlb_s357_SARIMA_2_2_0_1_1_0_12","SARIMA(2,2,0)(1,1,0)[12]",2,2,0,1,1,0,12,3,749.70503121069,0.0519162328001543,8539.80203073199,8279.73270845598,FALSE,""
"tlb_s220_SARIMA_0_2_0_0_1_1_12","SARIMA(0,2,0)(0,1,1)[12]",0,2,0,0,1,1,12,1,757.95801832667,9.60876402689159e-06,8718.63737823599,8392.06609525185,FALSE,""
