"year","actual","predicted"
2013,39720,40229.1727998372
2014,42232,40194.4882802029
2015,42185,37477.0613720491
2016,41251,36752.3231825503
2017,39615,36406.9946330757
2018,39039,36836.7995660558
2019,39279,38130.8674124485
2020,38590,38367.4632471778
2021,38672,37611.617211794
2022,35605,36918.7517714309
2023,33541,35963.2074823836
2024,33703,35630.3231804214
2025,30004,34621.7947419465
