"year","actual","predicted"
2013,39720,40171.0788296241
2014,42232,40018.3130850196
2015,42185,37937.4613715978
2016,41251,37449.0038317103
2017,39615,37191.0738232227
2018,39039,37040.8114539749
2019,39279,37357.3869071543
2020,38590,37069.1319517106
2021,38672,36257.6366439323
2022,35605,35389.6998374943
2023,33541,34800.4465580796
2024,33703,34655.9704645584
2025,30004,33288.7190488979
