"year","actual","predicted"
2013,39720,40227.9275744628
2014,42232,40229.5933406167
2015,42185,37563.6901488965
2016,41251,36858.9558621866
2017,39615,36477.5737544566
2018,39039,36930.3347036777
2019,39279,38262.5220226821
2020,38590,38510.5282749482
2021,38672,37751.2757484015
2022,35605,37048.3183470131
2023,33541,36060.7548525749
2024,33703,35719.7625056474
2025,30004,34719.7501283035
