"year","actual","predicted"
2013,39720,38175.2546118484
2014,42232,38856.8072806603
2015,42185,36825.9837948116
2016,41251,36095.1865714617
2017,39615,35964.9891001885
2018,39039,36441.1029619518
2019,39279,36261.8359615266
2020,38590,37188.8097185045
2021,38672,36423.6051273166
2022,35605,33357.4509451805
2023,33541,34123.3269520964
2024,33703,37630.0154536691
2025,30004,33183.5377404606
