"year","actual","predicted"
2013,39720,40260.8367588323
2014,42232,40233.1377550673
2015,42185,37963.0201043077
2016,41251,37530.4104413135
2017,39615,37423.517196539
2018,39039,37721.0448743997
2019,39279,38682.7010146792
2020,38590,38809.0385679219
2021,38672,38163.747968008
2022,35605,37535.6664498633
2023,33541,36943.5843391495
2024,33703,36850.9910896846
2025,30004,35824.40414191
