"year","actual","predicted"
2013,39720,38217.9009233828
2014,42232,38899.4494285808
2015,42185,36857.4322926343
2016,41251,36130.2070887258
2017,39615,36003.2193413085
2018,39039,36492.5059616249
2019,39279,36347.53442119
2020,38590,37303.8693375939
2021,38672,36542.7393857
2022,35605,33498.3984773093
2023,33541,34275.0901328306
2024,33703,37766.2770828349
2025,30004,33332.2244209377
