"year","actual","predicted"
2013,39720,39605.6674129027
2014,42232,39759.3327313713
2015,42185,38054.1838625807
2016,41251,37767.2791439927
2017,39615,37789.1227795228
2018,39039,37715.6937499875
2019,39279,37715.8433221547
2020,38590,37586.3063150535
2021,38672,37044.1905218758
2022,35605,35612.2159822034
2023,33541,35892.1598407375
2024,33703,37333.0580927008
2025,30004,35072.8139463993
