Series,Model_Type,Model,Features,RMSE,MAE,MAPE
TFR,ML,Random Forest,"year, lag1, lag2, lag3, rolling_mean",0.1820212111812008,0.14412017948717834,14.254163186691187
TFR,ML,XGBoost,"year, lag1, lag2, lag3, rolling_mean",0.18721871006090504,0.15155198830824634,14.921459715201465
TFR,ML,Ridge Regression,"year, lag1, lag2, lag3, rolling_mean",0.06487165287325751,0.045504863517465834,4.529285546346295
TLB,ML,Random Forest,"year, lag1, lag2, lag3, rolling_mean",3971.3125782611933,2762.5424538461584,8.083988682883653
TLB,ML,XGBoost,"year, lag1, lag2, lag3, rolling_mean",4627.574975119335,3380.2091346153848,9.83883857656506
TLB,ML,Ridge Regression,"year, lag1, lag2, lag3, rolling_mean",4594.201271678095,3423.412714783861,9.937298263026916
