Series,Model_Type,Model,Scale,Features,Removed_Lags,AIC,AIC_Note,MSE,RMSE,MAE,MAPE,Ljung_Box_p_lag12,ACF_Spikes,PACF_Spikes,Training_Residuals_White_Noise
TFR,ML,Linear regression with backward lag elimination + Zodiac,original,"lag1, lag2, Zodiac","lag6, lag8, lag7, lag10, lag9, lag12, lag3, lag4, lag11, lag5",NA,N/A for ML models,0.064782,0.254524,0.213669,20.693076,0.64848,0,0,Yes
TLB,ML,Linear regression with backward lag elimination + Zodiac,original,"lag1, lag4, lag5, lag8, Zodiac","lag6, lag2, lag3, lag7, lag11, lag12, lag9, lag10",NA,N/A for ML models,69295981.925081,8324.420816,6736.050456,19.120957,0.63622,0,0,Yes
