"year","actual","predicted"
2013,39720,38324.0346522657
2014,42232,39154.6570077356
2015,42185,37092.6058041126
2016,41251,36374.5889367163
2017,39615,36254.1401630098
2018,39039,36714.0090766422
2019,39279,36590.949123891
2020,38590,37505.4252886068
2021,38672,36740.4237144814
2022,35605,33674.4015131582
2023,33541,34440.3588083853
2024,33703,37946.9587373126
2025,30004,33530.3323269009
