"year","actual","predicted"
2013,39720,38221.3517199802
2014,42232,38911.6917509351
2015,42185,36877.8371610982
2016,41251,36151.2024807616
2017,39615,36024.6167458247
2018,39039,36511.2501895004
2019,39279,36358.3829772443
2020,38590,37316.0817062592
2021,38672,36553.3177352819
2022,35605,33500.4238118463
2023,33541,34272.7517685853
2024,33703,37769.9184276469
2025,30004,33335.0008250534
