"year","actual","predicted"
2013,39720,38226.8479376325
2014,42232,38930.4615413055
2015,42185,36909.340986222
2016,41251,36183.4857677702
2017,39615,36057.3957043708
2018,39039,36540.0707641453
2019,39279,36375.0110686252
2020,38590,37334.9829999065
2021,38672,36569.8094701551
2022,35605,33503.6491185326
2023,33541,34269.5013319546
2024,33703,37776.1662634513
2025,30004,33340.0142010838
