year,actual,predicted
2013,1.19,1.2491919999999992
2014,1.25,1.242289333333331
2015,1.24,1.2359739999999984
2016,1.2,1.243109333333331
2017,1.16,1.2486433333333322
2018,1.14,1.252524999999998
2019,1.14,1.252967999999998
2020,1.1,1.252947999999998
2021,1.12,1.2524879999999983
2022,1.04,1.2524879999999983
2023,0.97,1.2524879999999983
2024,0.97,1.2524879999999983
2025,0.87,1.2524879999999983
