year,actual,predicted
2013,39720,41581.92329918983
2014,42232,41480.406625780146
2015,42185,41497.471228927876
2016,41251,41393.693613346135
2017,39615,41313.02657536516
2018,39039,41238.73027172371
2019,39279,41161.72439898161
2020,38590,41085.81852792354
2021,38672,41010.67613987678
2022,35605,40935.90399265463
2023,33541,40861.52984936425
2024,33703,40787.49115589975
2025,30004,40713.72532257281
