year,actual,predicted
2013,1.19,1.200766845029908
2014,1.25,1.1989997921017974
2015,1.24,1.1925525856145172
2016,1.2,1.1688139066747785
2017,1.16,1.1559018663860148
2018,1.14,1.1416202693845365
2019,1.14,1.1259331746933698
2020,1.1,1.111654770958239
2021,1.12,1.0972495915881506
2022,1.04,1.0828560312275584
2023,0.97,1.0687286881146898
2024,0.97,1.0546738264926994
2025,0.87,1.0407137115780531
