"year","Point.Forecast"
1,42370.665404159
2,42318.5186719533
3,42309.1857003971
4,42307.5143340742
5,42307.2149906573
6,42307.1613769204
7,42307.1517744288
8,42307.1500545729
9,42307.1497465378
10,42307.1496913671
11,42307.1496814857
12,42307.149679716
13,42307.149679399
