"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"2013",1.29713003047021,1.11268380806736,1.48157625287306,1.01504387591081,1.57921618502961
"2014",1.30409688381677,1.01587203080846,1.59232173682509,0.863295010108645,1.7448987575249
"2015",1.31090429449409,0.924297371183074,1.69751121780511,0.719640028400024,1.90216856058816
"2016",1.31755591149024,0.832450513420462,1.80266130956001,0.575651227757374,2.0594605952231
"2017",1.32405530028293,0.738709168115986,1.90940143244987,0.428845643190827,2.21926495737503
"2018",1.33040594475074,0.642518870799433,2.01829301870204,0.278373450215677,2.3824384392858
"2019",1.33661124904056,0.543722771466822,2.12949972661431,0.123992965404871,2.54922953267626
"2020",1.34267453939236,0.442334545191423,2.24301453359329,-0.0342766578268836,2.7196257366116
"2021",1.34859906592209,0.338445687144922,2.35875244469925,-0.196297210197195,2.89349534204137
"2022",1.35438800436392,0.232183114675506,2.47659289405234,-0.361876269504262,3.0706522782321
"2023",1.36004445777251,0.123688321713892,2.59640059383112,-0.530799082112859,3.25088799765787
"2024",1.36557145818631,0.0131066687924981,2.71803624758011,-0.70284494333707,3.43398785970968
"2025",1.37097196825288,-0.0994182302359476,2.8413621667417,-0.877795783073708,3.61973971957946
