year,actual,predicted
2013,39720,40110.04323333335
2014,42232,40737.987233333326
2015,42185,40511.548100000015
2016,41251,40186.229833333346
2017,39615,40219.498566666676
2018,39039,39921.58616666668
2019,39279,39938.5328
2020,38590,39869.60046666668
2021,38672,39877.91116666667
2022,35605,39877.91116666667
2023,33541,39877.91116666667
2024,33703,39877.91116666667
2025,30004,39877.91116666667
