"","forecast_values"
"1",1.28533776447068
"2",1.28081089732781
"3",1.27641506656766
"4",1.27214609914691
"5",1.26799997415187
"6",1.26397281630873
"7",1.26006088981547
"8",1.25626059247748
"9",1.25256845012971
"10",1.24898111132968
"11",1.24549534230618
"12",1.24210802214995
"13",1.23881613823276
