"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"2013",1.28129055153284,1.1079420358868,1.45463906717887,1.01617687481916,1.54640422824652
"2014",1.27317849747835,1.02802751488717,1.51832948006953,0.898252423825488,1.64810457113122
"2015",1.26561422429501,0.965358454765038,1.56586999382497,0.806412651567798,1.72481579702221
"2016",1.25856074210567,0.911843387520518,1.60527809669082,0.728302306883736,1.7888191773276
"2017",1.25198355884041,0.864327956531007,1.63963916114982,0.659115476619515,1.84485164106131
"2018",1.24585051156766,0.821179996206452,1.67052102692886,0.596373004940508,1.8953280181948
"2019",1.24013160921495,0.781419085004363,1.69884413342554,0.538591342805031,1.94167187562487
"2020",1.23479888591032,0.744398030406687,1.72519974141396,0.484795498909422,1.98480227291122
"2021",1.22982626422703,0.709660660257699,1.74999186819636,0.43430162270145,2.02535090575261
"2022",1.22518942766293,0.676869523446823,1.77350933187903,0.386606499621852,2.063772355704
"2023",1.22086570173089,0.645765564183438,1.79596583927835,0.341325941176626,2.10040546228516
"2024",1.21683394307888,0.616144001104719,1.81752388505304,0.298157953912187,2.13550993224557
"2025",1.21307443609725,0.58783908536792,1.83830978682659,0.256859483661838,2.16928938853267
