year,actual,predicted
2013,39720,40525.41015625
2014,42232,40948.51171875
2015,42185,41148.6796875
2016,41251,40951.8125
2017,39615,40951.8125
2018,39039,40951.8125
2019,39279,40951.8125
2020,38590,40951.8125
2021,38672,40951.8125
2022,35605,40951.8125
2023,33541,40951.8125
2024,33703,40951.8125
2025,30004,40951.8125
