"year","actual","predicted"
2013,39720,40803.6673337813
2014,42232,42422.3613437679
2015,42185,41882.8207307895
2016,41251,44289.454326063
2017,39615,45002.6880554804
2018,39039,44977.9937296045
2019,39279,44542.2354588135
2020,38590,43489.0220147265
2021,38672,42721.6022223408
2022,35605,41706.2789738931
2023,33541,42839.92017676
2024,33703,44491.1434853108
2025,30004,42278.7529630105
