"year","actual","predicted"
2013,39720,40376.0794028919
2014,42232,41581.8402610615
2015,42185,40915.6074237981
2016,41251,43389.8678352151
2017,39615,43903.8202655799
2018,39039,43785.0201597319
2019,39279,43412.0792258755
2020,38590,42429.5196232195
2021,38672,42036.3110494367
2022,35605,41408.7710455756
2023,33541,42875.2085843098
2024,33703,44935.839238224
2025,30004,42807.9598961036
