"year","actual","predicted"
2013,39720,40363.6887993122
2014,42232,41933.4867353031
2015,42185,41186.0951629008
2016,41251,43502.5730742303
2017,39615,43980.4667688482
2018,39039,44092.5020233719
2019,39279,43373.4851138819
2020,38590,42359.6980564515
2021,38672,41762.8102089736
2022,35605,40764.9034561221
2023,33541,42202.1435972658
2024,33703,44055.0331162716
2025,30004,41750.1513802539
