"year","actual","predicted"
2013,39720,38775.099264369
2014,42232,40966.0863029106
2015,42185,40602.9759969915
2016,41251,43252.0851508335
2017,39615,44116.1374163705
2018,39039,44023.0590301043
2019,39279,42673.3247128913
2020,38590,42169.5071959836
2021,38672,41824.7117760403
2022,35605,41983.573780044
2023,33541,43791.6672551314
2024,33703,45807.09904636
2025,30004,42267.3154162768
