"year","actual","predicted"
2013,39720,38165.6638347184
2014,42232,40040.5621765994
2015,42185,38830.8158022173
2016,41251,40792.7710157597
2017,39615,41223.4418593577
2018,39039,41003.4666759367
2019,39279,39728.9791105913
2020,38590,38852.8917365602
2021,38672,38269.45134433
2022,35605,37947.5551236399
2023,33541,39450.1453165619
2024,33703,40747.90318417
2025,30004,36889.3660992283
